category,variant,fNL_ML,b1_ML,sigma_s_P_ML,sn0_ML,chi2_raw_Csingle,ndata,nfree,success
baseline,joint,-1.3537444707051236,2.383163939495344,2.150919560481962,0.08238537108336746,4.519122568010394,74,4,True
baseline,p02,-11.965641144871416,2.419496306946333,2.5273830495294485,0.008913637535699084,1.13677075433607,22,4,True
baseline,xi02,-2.0648831942161827,2.42316463887466,,,3.245346526535849,52,2,True
fixed_fNL0,joint,0.0,2.381341212443282,2.14886241800392,0.08518508636666099,4.5225713058214945,74,3,True
fixed_fNL0,p02,0.0,2.3934442880849685,2.394362076100694,0.05820088805489807,1.2759655277084307,22,3,True
fixed_fNL0,xi02,0.0,2.418271145880671,,,3.2518817066566306,52,1,True
fixed_P_nuisance,both_at_P,-5.864000353754983,2.4168823508916777,2.5273830495294485,0.008913637535699084,5.01059196716798,74,2,True
fixed_P_nuisance,sigma_at_P,-1.6407356899132266,2.383030036296002,2.5273830495294485,0.0950398413503927,4.687732227263306,74,3,True
fixed_P_nuisance,sn_at_P,-4.732336819811029,2.410926870055084,2.0635950897800233,0.008913637535699084,4.744388666349895,74,3,True
multipoles,P0,-14.081573609044623,2.357990213044622,7.0395289504804754,0.41037270861422476,0.34187616816251515,13,4,True
multipoles,P02_xi0,-3.5082848547256025,2.3908229067841087,2.0700421165204754,0.06315655177688977,2.534042991645032,48,4,True
multipoles,P02_xi02,-1.3537444707051236,2.383163939495344,2.150919560481962,0.08238537108336746,4.519122568010394,74,4,True
multipoles,P0_xi0,-5.172419490859352,2.3981650974863205,5.314796585781966e-07,0.01520874471011016,1.5702007714745967,39,4,True
multipoles,P0_xi02,-2.9479883033578997,2.3945963687656038,1.0457273161741522e-07,0.025828513191747855,4.013421493330114,65,4,True
multipoles,xi0,-7.46580987854883,2.4494841449153997,,,0.7013877235271829,26,2,True
multipoles,xi2,-226.95205385851426,2.4492147760926914,,,1.6942803525575916,26,2,True
scales,k0.05_s100,-12.54149628427975,2.398234074000199,3.8162062462575834,0.15242223458428328,3.1965126210941346,60,4,True
scales,k0.05_s150,-10.879931829813934,2.3769250659274177,4.298627452762851,0.24627345448230137,2.6088976011182763,54,4,True
scales,k0.05_s50,-3.2940195220270008,2.4057542139675387,2.8214369944834106,0.00879922254320037,4.164381156914647,66,4,True
scales,k0.05_s80,-12.54149628427975,2.398234074000199,3.8162062462575834,0.15242223458428328,3.1965126210941346,60,4,True
scales,k0.06_s100,-12.684356590300842,2.420626691809257,3.859174018895197,0.04443269135455811,3.3009080169948657,62,4,True
scales,k0.06_s150,-12.350772639952963,2.4186393987089376,3.8785740860409423,0.054246595902866644,2.7922344534411168,56,4,True
scales,k0.06_s50,-3.1106405426874257,2.4035685094264236,2.9234235302781677,0.020708438455248113,4.16867779346874,68,4,True
scales,k0.06_s80,-12.684356590300842,2.420626691809257,3.859174018895197,0.04443269135455811,3.3009080169948657,62,4,True
scales,k0.08_s100,-10.761932335448718,2.4113568076928105,2.5183431887019263,0.033518218905537155,3.649025919244721,68,4,True
scales,k0.08_s150,-10.962753089757255,2.4142233613330997,2.4452411585834293,0.025932481177914316,3.1136749114640585,62,4,True
scales,k0.08_s50,-1.3537445914213553,2.383163939529294,2.1509195609818756,0.08238537108906505,4.519122568010365,74,4,True
scales,k0.08_s80,-10.761932335448718,2.4113568076928105,2.5183431887019263,0.033518218905537155,3.649025919244721,68,4,True
deletions,P0_highk,-2.3719532171741378,2.394024201031262,2.192565798015028,0.04696466391396047,4.439214425341549,72,4,True
deletions,P2_highk,-1.3497612508330585,2.382049437877934,2.3556922544925154,0.09188829474356561,4.416990222792001,72,4,True
deletions,xi0_55,-5.370099345684398,2.388048408693831,2.2450631298682984,0.0827316622617511,3.979223973436553,73,4,True
deletions,xi0_55to75,-9.688524934251339,2.4053038748030837,2.3303568146626987,0.043402410453271985,3.8347505699874547,71,4,True
deletions,xi0_65,-1.0487185319316594,2.3801169002491185,2.147845037785301,0.0916549033393115,4.406514996833892,73,4,True
deletions,xi0_75,-2.4598909896005208,2.3881730052418453,2.1761310708709427,0.07082080826394556,4.441031066730789,73,4,True
deletions,xi2_55to75,-1.5266356970327544,2.3863720198373266,2.1936361649532077,0.07497143858784157,4.414018159482087,71,4,True
cross_scan,0.0,-5.858541336955467,2.4160666183653716,2.481719898512573,0.008435447283154773,4.493314058399816,74,4,True
cross_scan,0.25,-5.066273971141795,2.412763963198972,2.3722146823490835,0.014123060587860531,4.227599009414611,74,4,True
cross_scan,0.5,-4.086133075259886,2.4079852041051524,2.276400379819475,0.02377106541797167,4.078641716106642,74,4,True
cross_scan,0.75,-2.726497212304267,2.400315022308791,2.1963988896634876,0.04070325175158932,4.059184684235085,74,4,True
cross_scan,1.0,-1.3537444707051236,2.383163939495344,2.150919560481962,0.08238537108336746,4.519122568010394,74,4,True
