case,probe,ndata,b1_MAP,raw_chi2,b1_q16,b1_q50,b1_q84,fNL_q16,fNL_q50,fNL_q84
baseline,p02,22,2.413458927143941,0.8946687598586981,2.3111590940933233,2.409814568361082,2.509266527496037,-39.98640077706132,-6.4943613389099415,27.14881470282824
baseline,xi02,52,2.4228661969543683,2.7335396232944187,2.305300500962146,2.4184890084551713,2.53006516786214,-26.781481865595865,1.4892349669034246,29.63178793638665
baseline,joint,74,2.378192441940271,4.006149283020766,2.307821520677302,2.376509345540344,2.444808144952322,-23.758137297091945,3.046981660026981,28.2822018013455
kmin0p013,p02,19,2.432108942522036,0.8610640720618649,,,,,,
kmin0p013,xi02,52,2.4228661969543683,2.7335396232944187,,,,,,
kmin0p013,joint,71,2.3784076382921646,3.936027894572798,,,,,,
kmax0p06,p02,16,2.3968319538809144,0.4980362978425803,2.241233809887783,2.3869638377310336,2.5403911096052982,-42.235808503110476,-6.9372320433858,29.398542134710127
kmax0p06,xi02,52,2.4228661969543683,2.7335396232944187,2.305300500962146,2.4184890084551713,2.53006516786214,-26.781481865595865,1.4892349669034246,29.63178793638665
kmax0p06,joint,68,2.400992568427806,3.6518293232705905,2.30234583398131,2.3967109902665813,2.490814148253936,-26.84049025477244,0.6482595152874318,27.122512633230226
smin80,p02,22,2.413458927143941,0.8946687598586981,,,,,,
smin80,xi02,46,2.219312369806067,2.3156304540606203,,,,,,
smin80,joint,68,2.405357274330041,3.192948233312076,,,,,,
smax250,p02,22,2.413458927143941,0.8946687598586981,,,,,,
smax250,xi02,32,2.429432523085083,1.610806580280323,,,,,,
smax250,joint,54,2.3776876093532473,2.905267160568745,,,,,,
bao_unmasked,p02,22,2.413458927143941,0.8946687598586981,2.3111590940933233,2.409814568361082,2.509266527496037,-39.98640077706132,-6.4943613389099415,27.14881470282824
bao_unmasked,xi02,60,2.397300928181431,3.481477351092599,2.289963770702265,2.393127287768969,2.494359225416548,-24.821421333634415,3.333488879551982,31.357301123951245
bao_unmasked,joint,82,2.3734298267890512,4.685013263778387,2.304740920244897,2.371069418038159,2.4375731073731526,-23.4651685545819,2.919065773750061,28.088754512606585
